date,rain
1-Jan-25,5.9
2-Jan-25,0
3-Jan-25,0
4-Jan-25,5.8
5-Jan-25,26.2
6-Jan-25,0.1
7-Jan-25,0.1
8-Jan-25,0
9-Jan-25,0
10-Jan-25,0
11-Jan-25,0.4
12-Jan-25,0.1
13-Jan-25,0.1
14-Jan-25,0
15-Jan-25,0
16-Jan-25,0
17-Jan-25,0
18-Jan-25,0.1
19-Jan-25,0
20-Jan-25,0.8
21-Jan-25,0.3
22-Jan-25,0.5
23-Jan-25,7.6
24-Jan-25,3.2
25-Jan-25,0.6
26-Jan-25,14.1
27-Jan-25,1.6
28-Jan-25,11.7
29-Jan-25,0.1
30-Jan-25,2.4
31-Jan-25,0.6
1-Feb-25,0
2-Feb-25,1.4
3-Feb-25,0
4-Feb-25,5.7
5-Feb-25,0
6-Feb-25,0
7-Feb-25,0
8-Feb-25,3.9
9-Feb-25,0.2
10-Feb-25,5.8
11-Feb-25,1.5
12-Feb-25,0
13-Feb-25,0
14-Feb-25,10.4
15-Feb-25,1.5
16-Feb-25,2.3
17-Feb-25,0.2
18-Feb-25,0.5
19-Feb-25,1.7
20-Feb-25,2.4
21-Feb-25,7.9
22-Feb-25,0
23-Feb-25,7.1
24-Feb-25,2.5
25-Feb-25,0.1
26-Feb-25,1.6
27-Feb-25,0
28-Feb-25,0
