Entity,Code,Year,Annual CO₂ emissions
Ireland,IRL,1924,6686800
Ireland,IRL,1925,6034608
Ireland,IRL,1926,8097440
Ireland,IRL,1927,6730768
Ireland,IRL,1928,6485280
Ireland,IRL,1929,9999056
Ireland,IRL,1930,9552048
Ireland,IRL,1931,9841504
Ireland,IRL,1932,6426656
Ireland,IRL,1933,9266256
Ireland,IRL,1934,9482432
Ireland,IRL,1935,9533728
Ireland,IRL,1936,10145616
Ireland,IRL,1937,10354464
Ireland,IRL,1938,9965634
Ireland,IRL,1939,11529568
Ireland,IRL,1940,11522181
Ireland,IRL,1941,8447995
Ireland,IRL,1942,7015757
Ireland,IRL,1943,7110814
Ireland,IRL,1944,6356149
Ireland,IRL,1945,6832587
Ireland,IRL,1946,8195150.5
Ireland,IRL,1947,8810732
Ireland,IRL,1948,8443915
Ireland,IRL,1949,8344839
Ireland,IRL,1950,9726138
Ireland,IRL,1951,10506628
Ireland,IRL,1952,9619792
Ireland,IRL,1953,9535490
Ireland,IRL,1954,9091640
Ireland,IRL,1955,11714768
Ireland,IRL,1956,10923165
Ireland,IRL,1957,9718482
Ireland,IRL,1958,8956370
Ireland,IRL,1959,12312178
Ireland,IRL,1960,11168536
Ireland,IRL,1961,12352601
Ireland,IRL,1962,13106731
Ireland,IRL,1963,13447305
Ireland,IRL,1964,14216062
Ireland,IRL,1965,13717431
Ireland,IRL,1966,15094858
Ireland,IRL,1967,16394835
Ireland,IRL,1968,17801570
Ireland,IRL,1969,18494394
Ireland,IRL,1970,19393740
Ireland,IRL,1971,22476182
Ireland,IRL,1972,22036418
Ireland,IRL,1973,22846356
Ireland,IRL,1974,23293276
Ireland,IRL,1975,22047718
Ireland,IRL,1976,22293362
Ireland,IRL,1977,23568720
Ireland,IRL,1978,23579640
Ireland,IRL,1979,27402738
Ireland,IRL,1980,26271548
Ireland,IRL,1981,26061508
Ireland,IRL,1982,25566268
Ireland,IRL,1983,25728682
Ireland,IRL,1984,25549450
Ireland,IRL,1985,26749804
Ireland,IRL,1986,28550302
Ireland,IRL,1987,30226336
Ireland,IRL,1988,29883636
Ireland,IRL,1989,30061098
Ireland,IRL,1990,32945302
Ireland,IRL,1991,33675164
Ireland,IRL,1992,33496132
Ireland,IRL,1993,33717148
Ireland,IRL,1994,34838990
Ireland,IRL,1995,35853360
Ireland,IRL,1996,37469464
Ireland,IRL,1997,38804936
Ireland,IRL,1998,40708444
Ireland,IRL,1999,42440316
Ireland,IRL,2000,45249516
Ireland,IRL,2001,47607710
Ireland,IRL,2002,46081388
Ireland,IRL,2003,45683964
Ireland,IRL,2004,46166736
Ireland,IRL,2005,48152700
Ireland,IRL,2006,47596800
Ireland,IRL,2007,47656784
Ireland,IRL,2008,47358700
Ireland,IRL,2009,42191316
Ireland,IRL,2010,41791596
Ireland,IRL,2011,38054140
Ireland,IRL,2012,38224184
Ireland,IRL,2013,37278920
Ireland,IRL,2014,36850170
Ireland,IRL,2015,38715990
Ireland,IRL,2016,40366880
Ireland,IRL,2017,39075644
Ireland,IRL,2018,39009370
Ireland,IRL,2019,37323388
Ireland,IRL,2020,35124468
Ireland,IRL,2021,37544270
Ireland,IRL,2022,36711388
Ireland,IRL,2023,34432788
